feature,importance
media_portugues,0.8440931440498123
sigla_uf_CE,0.03285785241176633
sigla_uf_BA,0.02606027277913999
ano,0.013577578570220664
sigla_uf_RN,0.010874178049192822
sigla_uf_PR,0.009568103408611238
sigla_uf_GO,0.00946169616182279
sigla_uf_MG,0.006014869585716855
sigla_uf_RS,0.00596679537722752
sigla_uf_PA,0.005701361759696284
sigla_uf_SP,0.0055552236568117835
sigla_uf_TO,0.004653724598069081
sigla_uf_SE,0.0029447141898374797
sigla_uf_RJ,0.002623536406991409
rede_0,0.0024725371751323985
sigla_uf_ES,0.002278280867760198
sigla_uf_SC,0.0022214246132301447
sigla_uf_PI,0.0017925889679180772
sigla_uf_PB,0.0014505607672166884
rede_2,0.0013341916027133902
sigla_uf_PE,0.0012848401800368168
sigla_uf_MT,0.001280412446601159
sigla_uf_MS,0.0012027874566833913
rede_3,0.0008874411572018734
rede_5,0.0008810526222964211
sigla_uf_MA,0.0008482761660026098
sigla_uf_AM,0.0007891030896752359
sigla_uf_AL,0.0006882849470254614
sigla_uf_RO,0.0003757588582538986
sigla_uf_AP,0.00016024117249345825
sigla_uf_AC,9.916690484241877e-05
sigla_uf_DF,0.0
