model,accuracy,precision,recall,f1,roc_auc
hist_gradient_boosting,0.9529068555949156,0.8740499457111836,0.8797814207650273,0.8769063180827886,0.9875605679458392
random_forest,0.9314440508439258,0.7534602076124568,0.9519125683060109,0.8411395461129889,0.9836431373211101
logistic_regression,0.921233590331319,0.7250628667225482,0.9453551912568307,0.8206831119544592,0.9819976026067431
dummy_most_frequent,0.8093352781829548,0.0,0.0,0.0,0.5
