ID_SAEB,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,IN_PUBLICA,ID_LOCALIZACAO,ID_TURMA,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_LP,IN_PREENCHIMENTO_MT,IN_PRESENCA_LP,IN_PRESENCA_MT,ID_CADERNO_LP,ID_BLOCO_1_LP,ID_BLOCO_2_LP,NU_BLOCO_1_ABERTA_LP,NU_BLOCO_2_ABERTA_LP,ID_CADERNO_MT,ID_BLOCO_1_MT,ID_BLOCO_2_MT,NU_BLOCO_1_ABERTA_MT,NU_BLOCO_2_ABERTA_MT,TX_RESP_BLOCO1_LP,TX_RESP_BLOCO2_LP,CO_CONCEITO_Q1_LP,CO_CONCEITO_Q2_LP,CO_RESPOSTA_TEXTO,CO_CONCEITO_PROPOSITO,CO_CONCEITO_ELEMENTO,CO_CONCEITO_SEGMENTACAO,CO_TEXTO_GRAFIA,TX_RESP_BLOCO1_MT,TX_RESP_BLOCO2_MT,CO_CONCEITO_Q1_MT,CO_CONCEITO_Q2_MT,IN_PROFICIENCIA_LP,IN_PROFICIENCIA_MT,IN_AMOSTRA,ESTRATO,PESO_ALUNO_LP,PROFICIENCIA_LP,ERRO_PADRAO_LP,PROFICIENCIA_LP_SAEB,ERRO_PADRAO_LP_SAEB,PESO_ALUNO_MT,PROFICIENCIA_MT,ERRO_PADRAO_MT,PROFICIENCIA_MT_SAEB,ERRO_PADRAO_MT_SAEB
2021,2,25,6317937,1,61378256,0,1,1260396,2,48923372,1,1,1,1,1,18,4,7,4,7,18,4,7,4,7,BCDBDBBB,BACCCDDD,A,B,TX,A,A2,B,A,AACACBDAB,CCBAADA*B,21,2,1,1,1,25411,19.264550265000000,-0.146536,0.352116,740.103821,19.509455,27.002373183000000,0.435622,0.414628,773.266323,23.438784
2021,5,52,6322017,1,61397107,0,1,1403504,2,49138982,1,1,1,1,1,16,2,5,2,5,16,2,5,2,5,AACDDCDB,BCBCBADD,A,A,TX,A,B,A,A,CCDDACAAA,ABBCDCDBA,22,21,1,1,1,52411,55.665508685000000,0.187816,0.332726,758.62908,18.435126,55.199803150000000,1.410273,0.523565,828.363034,29.596956
2021,1,12,6316667,2,61332423,1,1,1244229,2,48961413,1,0,1,0,1,10,3,5,3,5,10,3,5,3,5,........,........,D,D,BR,.,.,.,.,CBCDDDBAA,ABBDCDBBA,12,21,0,1,1,12312,,,,,,48.145837434000000,-0.086708,0.444342,743.739177,25.118506
2021,1,17,6316918,2,61352570,1,1,1442910,2,48917634,1,1,1,1,1,16,2,5,2,5,16,2,5,2,5,AACBCDCB,BCB.CBDB,A,B,TX,B,C,A,A,CCDDAABCA,ABBDDCCBA,23,21,1,1,1,17312,104.727502900000000,-0.894218,0.273196,698.67755,15.136787,106.474178150000000,-0.011006,0.401305,748.018565,22.685639
2021,1,13,6316709,2,61343197,1,1,1450917,2,49000650,1,1,1,1,1,17,3,6,3,6,17,3,6,3,6,CDCBCCDD,CAAACDBB,C,B,NL,*,*,*,*,CBADDABCA,AABCAACAA,12,0,1,1,1,13212,66.069514055000000,-0.715045,0.355125,708.60484,19.676172,72.143004442000000,-0.72164,0.400204,707.846695,22.6234
2021,1,15,6316769,1,61328454,1,2,1268428,2,48987340,1,0,0,0,0,5,5,6,5,6,5,5,6,5,6,........,........,D,D,BR,.,.,.,.,.........,.........,.,.,0,0,1,15321,,,,,,,,,,
2021,5,53,6322169,1,61385273,1,2,1451120,2,49184098,1,0,1,0,1,6,6,7,6,7,6,6,7,6,7,........,........,D,D,BR,.,.,.,.,AABDACAAB,CCBADDDCB,2,0,0,1,1,53221,,,,,,57.902852418000000,-0.05152,0.41225,745.728335,23.304356
2021,5,50,6321764,2,61366087,1,1,1363706,2,49073435,1,1,1,1,1,4,4,5,4,5,4,4,5,4,5,BCDAAAAB,BCBBAAAB,A,B,NL,*,*,*,*,AAACDBABB,AAAAAAABC,0,0,1,1,1,50312,142.557106890000000,-1.103351,0.303309,687.090263,16.805238,146.744365040000000,-1.696373,0.483245,652.745348,27.31768
2021,5,51,6321819,1,61350586,1,1,1355817,2,49139823,1,0,0,0,0,21,7,3,7,3,21,7,3,7,3,........,........,D,D,BR,.,.,.,.,.........,.........,.,.,0,0,1,51311,,,,,,,,,,
2021,4,43,6321217,2,61349550,1,1,1347766,2,49064251,1,0,0,0,0,7,7,1,7,1,7,7,1,7,1,........,........,D,D,BR,.,.,.,.,.........,.........,.,.,0,0,1,43312,,,,,,,,,,
